pair,event_type,lookback_window,magnitude_bucket,horizon_bars,mean_forward_return,median_forward_return,mean_aligned_forward_return,mean_abs_forward_return,positive_fraction,continuation_fraction,reversal_fraction,mean_mfe,mean_mae,forward_return_std,sample_count,forward_return_se,low_sample
ALL,sweep_high,96,small,2,1.4354743e-05,-1.3559996e-05,1.4354743e-05,0.00053502743,0.4854419,0.4854419,0.51172378,0.00054478264,0.00053222717,0.00082959597,3881,1.3316645e-05,False
ALL,sweep_high,96,small,4,3.0780068e-05,1.2917727e-05,3.0780068e-05,0.0007577165,0.50657047,0.50657047,0.4913682,0.00077678111,0.00075017726,0.0012598447,3881,2.0222981e-05,False
ALL,sweep_high,96,small,8,1.5723018e-05,-9.1060583e-06,1.5723018e-05,0.0010232154,0.49523319,0.49523319,0.50322082,0.0010641616,0.0010400661,0.0015486268,3881,2.4858502e-05,False
ALL,sweep_low,24,large,1,7.0192821e-06,1.701551e-05,-7.0192821e-06,0.0004358041,0.51610628,0.47966142,0.51610628,0.00044525765,0.00042619706,0.0006749446,8506,7.3182197e-06,False
ALL,sweep_low,24,large,2,1.4772751e-05,2.8868271e-05,-1.4772751e-05,0.00061004157,0.51975076,0.47672231,0.51975076,0.00062425744,0.00061164746,0.00094479982,8506,1.0244178e-05,False
ALL,sweep_low,24,large,4,5.6817433e-06,2.6678418e-05,-5.6817433e-06,0.00085198543,0.51528333,0.48271808,0.51528333,0.00088336558,0.00085834911,0.0013009943,8506,1.4106286e-05,False
ALL,sweep_low,24,large,8,-2.1055079e-05,1.3300214e-05,2.1055079e-05,0.0011672933,0.50423231,0.49447449,0.50423231,0.0012315209,0.0011712607,0.001725291,8506,1.8706807e-05,False
ALL,sweep_low,24,medium,1,-9.6437953e-06,9.5413248e-06,9.6437953e-06,0.00039129568,0.50940734,0.48553622,0.50940734,0.00039903952,0.0003695254,0.00060664712,8504,6.5784642e-06,False
ALL,sweep_low,24,medium,2,-1.1583748e-05,1.5866061e-05,1.1583748e-05,0.00054131127,0.51328786,0.48341957,0.51328786,0.00056657864,0.00053003907,0.00081668058,8504,8.856061e-06,False
ALL,sweep_low,24,medium,4,-7.3897849e-06,2.7293458e-05,7.3897849e-06,0.00076115746,0.51575729,0.48200847,0.51575729,0.00079976157,0.00075164813,0.0011676874,8504,1.2662369e-05,False
ALL,sweep_low,24,medium,8,-1.9607416e-06,6.2713815e-05,1.9607416e-06,0.0010556922,0.52504704,0.47365945,0.52504704,0.0011125161,0.0010686917,0.001599652,8504,1.7346581e-05,False
ALL,sweep_low,24,small,1,2.5844021e-06,1.3606653e-05,-2.5844021e-06,0.00038419457,0.51681562,0.47671684,0.51681562,0.00038516461,0.00036826443,0.00058290521,8504,6.3210076e-06,False
ALL,sweep_low,24,small,2,1.4567664e-06,1.7981699e-05,-1.4567664e-06,0.00053123734,0.51493415,0.48177328,0.51493415,0.0005453194,0.00052161325,0.00080104539,8504,8.6865135e-06,False
ALL,sweep_low,24,small,4,2.416238e-06,3.1928015e-05,-2.416238e-06,0.0007303517,0.51834431,0.4787159,0.51834431,0.00076542426,0.00073610445,0.0010977299,8504,1.1903752e-05,False
ALL,sweep_low,24,small,8,2.1725154e-05,6.3346735e-05,-2.1725154e-05,0.0010237214,0.52645814,0.47189558,0.52645814,0.0010651921,0.001044108,0.0015316878,8504,1.6609579e-05,False
ALL,sweep_low,48,large,1,1.5690212e-06,1.5299526e-05,-1.5690212e-06,0.00047736969,0.51300603,0.48268734,0.51300603,0.00048330838,0.00046277081,0.00075273934,5805,9.8796941e-06,False
ALL,sweep_low,48,large,2,1.0603365e-05,3.7871795e-05,-1.0603365e-05,0.00066026846,0.52230835,0.4749354,0.52230835,0.00067579466,0.00065984582,0.0010151069,5805,1.3323265e-05,False
ALL,sweep_low,48,large,4,-7.0114723e-06,2.0158527e-05,7.0114723e-06,0.00092271558,0.51093885,0.4873385,0.51093885,0.0009572488,0.00092508052,0.0014129362,5805,1.8544769e-05,False
ALL,sweep_low,48,large,8,-4.395352e-05,8.3993734e-06,4.395352e-05,0.0012684075,0.50146425,0.49715762,0.50146425,0.0013364192,0.0012540933,0.0018934849,5805,2.4851965e-05,False
ALL,sweep_low,48,medium,1,-1.740717e-05,7.4773797e-06,1.740717e-05,0.00042692363,0.50620476,0.48896932,0.50620476,0.0004413726,0.00039974032,0.00065854715,5802,8.6456572e-06,False
